Horizon,Station_1_MAPE,Station_2_MAPE,Station_3_MAPE,Station_4_MAPE,Station_5_MAPE,Station_6_MAPE,Station_7_MAPE,Station_8_MAPE,Station_9_MAPE,Station_10_MAPE,Station_11_MAPE,Station_12_MAPE,Station_13_MAPE,Station_14_MAPE,Station_15_MAPE,Station_16_MAPE,Station_17_MAPE,Station_18_MAPE,Station_19_MAPE,Station_20_MAPE,Station_21_MAPE,Station_22_MAPE,Station_23_MAPE,Station_24_MAPE,Station_25_MAPE
1,0.1196,0.0982,0.2662,0.1759,0.1037,0.1288,0.1281,0.1176,0.1197,0.3608,0.1193,0.1327,0.1278,0.1197,0.1282,0.1154,0.0997,0.1037,0.0902,0.1467,0.1438,0.0887,0.2089,0.2105,0.1607
2,0.1520,0.1117,0.2921,0.2186,0.1249,0.1696,0.1624,0.1428,0.1477,0.4093,0.1487,0.1669,0.1656,0.1640,0.1582,0.1529,0.1330,0.1378,0.1218,0.1668,0.1809,0.1218,0.2492,0.2472,0.1880
3,0.1765,0.1233,0.5687,0.2752,0.1418,0.2033,0.1836,0.1656,0.1658,0.6044,0.1740,0.1941,0.1908,0.1870,0.1781,0.1641,0.1537,0.1570,0.1430,0.1847,0.1991,0.1370,0.3252,0.2744,0.2811
4,0.1841,0.1296,0.4400,0.2654,0.1427,0.2124,0.1941,0.1768,0.1738,0.5841,0.1769,0.2022,0.1980,0.1959,0.1827,0.1680,0.1669,0.1633,0.1522,0.1847,0.2041,0.1448,0.3466,0.2796,0.2569
5,0.1860,0.1329,0.3798,0.2562,0.1423,0.2164,0.2010,0.1827,0.1838,0.5635,0.1812,0.2098,0.2064,0.2032,0.1886,0.1769,0.1784,0.1762,0.1584,0.1871,0.2137,0.1515,0.3529,0.2849,0.2379
6,0.1887,0.1358,0.3674,0.2570,0.1491,0.2208,0.2076,0.1904,0.1896,0.5510,0.1889,0.2147,0.2133,0.2111,0.1931,0.1872,0.1853,0.1798,0.1668,0.1910,0.2145,0.1581,0.3599,0.2893,0.2319
7,0.1987,0.1448,0.4043,0.2770,0.1573,0.2291,0.2149,0.1974,0.1972,0.5787,0.1949,0.2180,0.2213,0.2181,0.2007,0.1967,0.1893,0.1848,0.1767,0.1999,0.2190,0.1634,0.3633,0.3007,0.2525
8,0.2061,0.1510,0.4672,0.3065,0.1586,0.2382,0.2104,0.2009,0.2032,0.6552,0.2024,0.2271,0.2240,0.2232,0.2035,0.2008,0.1902,0.1882,0.1808,0.2112,0.2251,0.1666,0.3712,0.3113,0.2870
9,0.2053,0.1496,0.3990,0.2890,0.1624,0.2375,0.2107,0.2034,0.2028,0.5978,0.2044,0.2249,0.2255,0.2261,0.2020,0.2036,0.1953,0.1927,0.1847,0.2110,0.2314,0.1709,0.3534,0.3086,0.2607
10,0.2113,0.1521,0.4041,0.2897,0.1663,0.2423,0.2155,0.2076,0.2040,0.6358,0.2100,0.2280,0.2333,0.2316,0.2026,0.2097,0.1984,0.1973,0.1888,0.2172,0.2336,0.1738,0.3452,0.3103,0.2629
11,0.2109,0.1563,0.4464,0.2924,0.1667,0.2455,0.2110,0.2137,0.2075,0.6814,0.2151,0.2287,0.2385,0.2365,0.2047,0.2093,0.2031,0.1999,0.1882,0.2253,0.2351,0.1740,0.3339,0.3056,0.2773
12,0.2192,0.1617,0.4378,0.2956,0.1709,0.2522,0.2208,0.2178,0.2094,0.6943,0.2216,0.2371,0.2432,0.2409,0.2049,0.2112,0.2067,0.2039,0.1922,0.2294,0.2351,0.1758,0.3506,0.3048,0.2782
