Horizon,Station_1_RMSE,Station_2_RMSE,Station_3_RMSE,Station_4_RMSE,Station_5_RMSE,Station_6_RMSE,Station_7_RMSE,Station_8_RMSE,Station_9_RMSE,Station_10_RMSE,Station_11_RMSE,Station_12_RMSE,Station_13_RMSE,Station_14_RMSE,Station_15_RMSE,Station_16_RMSE,Station_17_RMSE,Station_18_RMSE,Station_19_RMSE,Station_20_RMSE,Station_21_RMSE,Station_22_RMSE,Station_23_RMSE,Station_24_RMSE,Station_25_RMSE
1,0.0599,0.0648,0.0329,0.0525,0.1007,0.0733,0.1197,0.0578,0.0738,0.0789,0.0715,0.0720,0.0844,0.1013,0.0683,0.0979,0.0859,0.0948,0.0967,0.0604,0.0961,0.1457,0.0840,0.0962,0.0418
2,0.0709,0.0735,0.0340,0.0648,0.1171,0.0921,0.1490,0.0685,0.0899,0.0864,0.0885,0.0866,0.1070,0.1324,0.0811,0.1262,0.1108,0.1238,0.1250,0.0699,0.1184,0.1888,0.0946,0.1039,0.0470
3,0.0786,0.0799,0.0431,0.0682,0.1219,0.1052,0.1658,0.0774,0.0994,0.0955,0.1024,0.0961,0.1223,0.1502,0.0896,0.1404,0.1301,0.1432,0.1442,0.0749,0.1291,0.2127,0.1052,0.1051,0.0508
4,0.0838,0.0859,0.0404,0.0696,0.1227,0.1134,0.1755,0.0839,0.1079,0.0964,0.1097,0.1024,0.1331,0.1627,0.0945,0.1508,0.1467,0.1587,0.1581,0.0794,0.1361,0.2263,0.1092,0.1080,0.0525
5,0.0879,0.0908,0.0400,0.0697,0.1232,0.1194,0.1818,0.0903,0.1173,0.0940,0.1180,0.1106,0.1435,0.1750,0.0999,0.1620,0.1614,0.1741,0.1710,0.0835,0.1413,0.2408,0.1104,0.1103,0.0541
6,0.0912,0.0936,0.0403,0.0712,0.1298,0.1239,0.1865,0.0942,0.1229,0.0923,0.1232,0.1152,0.1501,0.1822,0.1032,0.1702,0.1708,0.1831,0.1791,0.0861,0.1433,0.2529,0.1128,0.1109,0.0552
7,0.0947,0.0981,0.0414,0.0724,0.1376,0.1284,0.1935,0.0969,0.1276,0.0926,0.1277,0.1185,0.1556,0.1877,0.1056,0.1764,0.1773,0.1900,0.1869,0.0890,0.1445,0.2635,0.1159,0.1127,0.0555
8,0.0964,0.1000,0.0433,0.0738,0.1388,0.1311,0.1962,0.0977,0.1305,0.0967,0.1302,0.1209,0.1568,0.1908,0.1060,0.1802,0.1802,0.1935,0.1909,0.0898,0.1455,0.2696,0.1165,0.1144,0.0563
9,0.0981,0.1009,0.0404,0.0746,0.1414,0.1330,0.1958,0.0995,0.1324,0.0941,0.1334,0.1224,0.1594,0.1949,0.1079,0.1859,0.1856,0.1980,0.1966,0.0913,0.1462,0.2769,0.1170,0.1160,0.0561
10,0.0998,0.1023,0.0409,0.0743,0.1440,0.1348,0.1973,0.1008,0.1336,0.0945,0.1353,0.1225,0.1628,0.1987,0.1092,0.1896,0.1889,0.2015,0.2004,0.0931,0.1468,0.2806,0.1143,0.1148,0.0559
11,0.0989,0.1057,0.0418,0.0734,0.1444,0.1363,0.1964,0.1031,0.1352,0.0938,0.1390,0.1233,0.1668,0.2035,0.1110,0.1916,0.1924,0.2043,0.2029,0.0943,0.1480,0.2826,0.1134,0.1120,0.0561
12,0.1009,0.1080,0.0415,0.0736,0.1473,0.1407,0.1978,0.1055,0.1373,0.0943,0.1419,0.1256,0.1701,0.2075,0.1129,0.1938,0.1955,0.2073,0.2060,0.0964,0.1490,0.2863,0.1157,0.1110,0.0566
